,Manufacturer,Foundry,Architecture,Arbitrary Gen,Gen Year,FP32 (float) in GFLOPS,Memory Size (MB),Memory Type,Bus Width (bits),GPU clock (MHz),Memory clock (MHz),Process Size (nm),Transistors (millions),Density (M/mm²),Die Size (mm²),Max. TDP (W),Pixel Rate (GPixel/s),Texture Rate (GTexel/s),L2 Cache (KB),Shading Units
70,AMD,TSMC,GCN 1.0,3,2011,2368.0,2048.0,GDDR5,256,925.0,1400.0,28.0,2800.0,13.2,212.0,180.0,29.6,74.0,512.0,1280
71,AMD,TSMC,GCN 1.0,3,2011,2560.0,2048.0,GDDR5,256,1000.0,1200.0,28.0,2800.0,13.2,212.0,175.0,32.0,80.0,512.0,1280
72,AMD,TSMC,GCN 1.0,3,2011,3315.0,3072.0,GDDR5,384,850.0,1250.0,28.0,4313.0,12.3,352.0,375.0,29.6,103.6,768.0,2048
73,AMD,TSMC,GCN 1.0,3,2011,3789.0,3072.0,GDDR5,384,925.0,1375.0,28.0,4313.0,12.3,352.0,375.0,29.6,118.4,768.0,2048
74,AMD,TSMC,GCN 1.0,3,2011,4096.0,3072.0,GDDR5,384,950.0,1500.0,28.0,4313.0,11.8,365.0,375.0,32.0,128.0,768.0,2048
75,AMD,TSMC,TeraScale 2,1,2009,104.0,1024.0,DDR3,64,650.0,533.0,40.0,292.0,4.9,59.0,25.0,2.6,5.2,128.0,80
76,AMD,TSMC,TeraScale 2,1,2009,200.0,1024.0,DDR3,64,625.0,667.0,40.0,370.0,5.5,67.0,35.0,2.5,5.0,128.0,160
77,AMD,TSMC,TeraScale 2,1,2009,200.0,1024.0,DDR3,64,625.0,667.0,40.0,370.0,5.5,67.0,35.0,2.5,5.0,128.0,160
78,AMD,TSMC,TeraScale 2,1,2009,248.0,1024.0,DDR3,64,775.0,900.0,40.0,370.0,5.5,67.0,35.0,3.1,6.2,128.0,160
79,AMD,TSMC,TeraScale 2,1,2009,280.0,1024.0,DDR3,64,875.0,900.0,40.0,370.0,5.5,67.0,35.0,3.5,7.0,128.0,160
80,AMD,TSMC,GCN 1.0,3,2011,599.0,2048.0,DDR3,64,730.0,900.0,28.0,950.0,12.3,77.0,75.0,6.24,18.72,256.0,384
81,AMD,TSMC,GCN 1.0,3,2011,499.2,2048.0,DDR3,128,730.0,900.0,28.0,950.0,12.3,77.0,75.0,6.24,15.6,256.0,384
82,AMD,TSMC,GCN 1.0,3,2011,499.2,2048.0,DDR3,128,730.0,900.0,28.0,950.0,12.3,77.0,75.0,6.24,15.6,256.0,384
83,AMD,TSMC,GCN 1.0,3,2011,448.0,2048.0,GDDR5,128,650.0,1150.0,28.0,950.0,12.3,77.0,75.0,5.6,14.0,256.0,384
84,AMD,TSMC,GCN 1.0,3,2011,806.4,2048.0,DDR3,128,1000.0,1000.0,28.0,950.0,12.3,77.0,75.0,8.4,25.2,256.0,384
85,AMD,TSMC,GCN 1.0,3,2011,819.2,1024.0,GDDR5,128,800.0,1125.0,28.0,1500.0,12.2,123.0,80.0,12.8,25.6,256.0,640
86,AMD,TSMC,GCN 1.0,3,2011,1101.0,1024.0,GDDR5,128,860.0,1125.0,28.0,1500.0,12.2,123.0,80.0,13.76,34.4,256.0,640
87,AMD,TSMC,GCN 1.0,3,2011,806.4,1024.0,GDDR5,128,1000.0,1150.0,28.0,950.0,12.3,77.0,75.0,8.4,25.2,256.0,384
88,AMD,TSMC,GCN 1.0,3,2011,716.8,1024.0,DDR3,128,700.0,900.0,28.0,1500.0,12.2,123.0,80.0,11.2,22.4,256.0,640
89,AMD,TSMC,GCN 1.0,3,2011,947.2,1024.0,DDR3,128,925.0,900.0,28.0,1500.0,12.2,123.0,80.0,14.8,29.6,256.0,640
90,AMD,TSMC,GCN 1.0,3,2011,1216.0,1024.0,GDDR5,128,950.0,1125.0,28.0,1500.0,12.2,123.0,80.0,15.2,38.0,256.0,640
91,AMD,TSMC,GCN 2.0,4,2013,1536.0,2048.0,GDDR5,128,1000.0,1500.0,28.0,2080.0,13.0,160.0,115.0,16.0,48.0,256.0,896
92,AMD,TSMC,GCN 2.0,4,2013,1971.0,2048.0,GDDR5,128,1100.0,1625.0,28.0,2080.0,13.0,160.0,115.0,17.6,61.6,256.0,896
93,AMD,TSMC,GCN 1.0,3,2011,1894.0,2048.0,GDDR5,256,900.0,1400.0,28.0,2800.0,13.2,212.0,175.0,29.6,59.2,512.0,1280
94,AMD,TSMC,GCN 1.0,3,2011,2368.0,2048.0,GDDR5,256,900.0,1400.0,28.0,2800.0,13.2,212.0,180.0,29.6,74.0,512.0,1280
95,AMD,TSMC,GCN 1.0,3,2011,952.3,2048.0,GDDR5,128,900.0,1150.0,28.0,1500.0,12.2,123.0,80.0,14.88,29.76,256.0,640
96,AMD,TSMC,GCN 2.0,4,2013,1971.0,1024.0,GDDR5,128,1100.0,1625.0,28.0,2080.0,13.0,160.0,115.0,17.6,61.6,256.0,896
97,AMD,TSMC,GCN 1.0,3,2011,1894.0,2048.0,GDDR5,256,900.0,1200.0,28.0,2800.0,13.2,212.0,175.0,29.6,59.2,512.0,1280
98,AMD,TSMC,GCN 1.0,3,2011,2368.0,2048.0,GDDR5,256,900.0,1400.0,28.0,2800.0,13.2,212.0,180.0,29.6,74.0,512.0,1280
99,AMD,TSMC,GCN 1.0,3,2011,2688.0,2048.0,GDDR5,256,1000.0,1400.0,28.0,2800.0,13.2,212.0,180.0,33.6,84.0,512.0,1280
100,AMD,TSMC,GCN 1.0,3,2011,3344.0,3072.0,GDDR5,384,827.0,1250.0,28.0,4313.0,12.3,352.0,375.0,29.86,104.5,768.0,2048
101,AMD,TSMC,GCN 1.0,3,2011,4096.0,3072.0,GDDR5,384,850.0,1500.0,28.0,4313.0,12.3,352.0,375.0,32.0,128.0,768.0,2048
102,AMD,TSMC,GCN 3.0,5,2014,3290.0,2048.0,GDDR5,256,918.0,1375.0,28.0,5000.0,13.7,366.0,265.0,29.38,102.8,768.0,2048
103,AMD,TSMC,GCN 3.0,5,2014,4104.0,3072.0,GDDR5,384,1002.0,1375.0,28.0,5000.0,13.7,366.0,265.0,32.06,128.3,768.0,2048
104,AMD,TSMC,GCN 2.0,4,2013,4849.0,4096.0,GDDR5,512,947.0,1250.0,28.0,6200.0,14.2,438.0,580.0,60.61,151.5,1024.0,2816
105,AMD,TSMC,GCN 2.0,4,2013,5632.0,4096.0,GDDR5,512,1000.0,1250.0,28.0,6200.0,14.2,438.0,580.0,64.0,176.0,1024.0,2816
106,AMD,TSMC,GCN 1.0,3,2011,4096.0,3072.0,GDDR5,384,950.0,1500.0,28.0,4313.0,12.3,352.0,375.0,32.0,128.0,768.0,2048
107,AMD,TSMC,GCN 2.0,4,2013,5632.0,4096.0,GDDR5,512,1000.0,1350.0,28.0,6200.0,14.2,438.0,580.0,64.0,176.0,1024.0,2816
108,AMD,TSMC,GCN 2.0,4,2013,5733.0,4096.0,GDDR5,512,1018.0,1250.0,28.0,6200.0,14.2,438.0,500.0,65.15,179.2,1024.0,2816
109,AMD,TSMC,TeraScale 2,1,2009,248.0,2048.0,DDR3,64,775.0,805.0,40.0,370.0,5.5,67.0,35.0,3.1,6.2,128.0,160
110,AMD,TSMC,TeraScale 2,1,2009,280.0,1024.0,DDR3,64,875.0,900.0,40.0,370.0,5.5,67.0,35.0,3.5,7.0,128.0,160
111,AMD,TSMC,GCN 1.0,3,2011,547.2,2048.0,DDR3,64,830.0,900.0,28.0,690.0,12.3,56.0,50.0,6.84,17.1,128.0,320
112,AMD,TSMC,GCN 1.0,3,2011,599.0,1024.0,GDDR5,64,730.0,1150.0,28.0,950.0,12.3,77.0,75.0,6.24,18.72,256.0,384
113,AMD,TSMC,GCN 1.0,3,2011,691.2,2048.0,DDR3,64,900.0,1000.0,28.0,950.0,12.3,77.0,75.0,7.2,21.6,256.0,384
114,AMD,TSMC,GCN 1.0,3,2011,599.0,2048.0,DDR3,128,730.0,900.0,28.0,950.0,12.3,77.0,75.0,6.24,18.72,256.0,384
115,AMD,TSMC,GCN 1.0,3,2011,599.0,2048.0,GDDR5,128,730.0,1000.0,28.0,950.0,12.3,77.0,75.0,6.24,18.72,256.0,384
116,AMD,TSMC,GCN 1.0,3,2011,806.4,2048.0,GDDR5,128,1000.0,1150.0,28.0,950.0,12.3,77.0,75.0,8.4,25.2,256.0,384
117,AMD,TSMC,GCN 1.0,3,2011,806.4,4096.0,DDR3,128,1000.0,1000.0,28.0,950.0,12.3,77.0,75.0,8.4,25.2,256.0,384
118,AMD,TSMC,GCN 1.0,3,2011,819.2,2048.0,GDDR5,128,800.0,1125.0,28.0,1500.0,12.2,123.0,80.0,12.8,25.6,256.0,640
119,AMD,TSMC,GCN 1.0,3,2011,1184.0,2048.0,GDDR5,128,925.0,1125.0,28.0,1500.0,12.2,123.0,80.0,14.8,37.0,256.0,640
120,AMD,TSMC,GCN 2.0,4,2013,1613.0,2048.0,GDDR5,128,1050.0,1500.0,28.0,2080.0,13.0,160.0,100.0,16.8,50.4,256.0,896
121,AMD,TSMC,GCN 2.0,4,2013,1613.0,2048.0,GDDR5,128,1000.0,1500.0,28.0,2080.0,13.0,160.0,100.0,16.8,50.4,256.0,896
122,AMD,TSMC,GCN 2.0,4,2013,1971.0,2048.0,GDDR5,128,1100.0,1500.0,28.0,2080.0,13.0,160.0,100.0,17.6,61.6,256.0,896
123,AMD,TSMC,GCN 1.0,3,2011,1997.0,2048.0,GDDR5,256,925.0,1400.0,28.0,2800.0,13.2,212.0,180.0,31.2,62.4,512.0,1280
124,AMD,TSMC,GCN 2.0,4,2013,1613.0,2048.0,GDDR5,128,1000.0,1625.0,28.0,2080.0,13.0,160.0,100.0,16.8,50.4,256.0,896
125,AMD,TSMC,GCN 1.0,3,2011,1997.0,2048.0,GDDR5,256,925.0,1400.0,28.0,2800.0,13.2,212.0,180.0,31.2,62.4,512.0,1280
126,AMD,TSMC,GCN 1.0,3,2011,2496.0,2048.0,GDDR5,256,925.0,1400.0,28.0,2800.0,13.2,212.0,180.0,31.2,78.0,512.0,1280
127,AMD,TSMC,GCN 1.0,3,2011,2637.0,2048.0,GDDR5,256,980.0,1400.0,28.0,2800.0,13.2,212.0,180.0,32.96,82.4,512.0,1280
128,AMD,TSMC,GCN 3.0,5,2014,3290.0,4096.0,GDDR5,256,918.0,1375.0,28.0,5000.0,13.7,366.0,190.0,29.38,102.8,512.0,2048
129,AMD,TSMC,GCN 3.0,5,2014,3476.0,2048.0,GDDR5,256,970.0,1375.0,28.0,5000.0,13.7,366.0,190.0,31.04,108.6,512.0,2048
130,AMD,TSMC,GCN 3.0,5,2014,3973.0,4096.0,GDDR5,256,970.0,1425.0,28.0,5000.0,13.7,366.0,190.0,31.04,124.2,512.0,2048
131,AMD,TSMC,GCN 2.0,4,2013,5120.0,8192.0,GDDR5,512,1000.0,1500.0,28.0,6200.0,14.2,438.0,580.0,64.0,160.0,1024.0,2816
132,AMD,TSMC,GCN 2.0,4,2013,5914.0,8192.0,GDDR5,512,1050.0,1500.0,28.0,6200.0,14.2,438.0,580.0,67.2,184.8,1024.0,2816
133,AMD,TSMC,GCN 2.0,4,2013,5120.0,8192.0,GDDR5,512,1000.0,1350.0,28.0,6200.0,14.2,438.0,580.0,64.0,160.0,1024.0,2816
134,AMD,TSMC,GCN 3.0,5,2014,8192.0,4096.0,HBM,4096,1000.0,500.0,28.0,8900.0,14.9,596.0,275.0,64.0,256.0,4096.0,4096
135,AMD,TSMC,GCN 3.0,5,2014,7168.0,4096.0,HBM,4096,1000.0,500.0,28.0,8900.0,14.9,596.0,275.0,64.0,224.0,4096.0,4096
136,AMD,TSMC,GCN 3.0,5,2014,8602.0,4096.0,HBM,4096,1050.0,500.0,28.0,8900.0,14.9,596.0,275.0,67.2,268.8,4096.0,4096
137,AMD,TSMC,GCN 3.0,5,2014,8602.0,4096.0,HBM,4096,1050.0,500.0,28.0,8900.0,14.9,596.0,350.0,67.2,268.8,2048.0,4096
138,AMD,TSMC,GCN 1.0,3,2011,599.0,2048.0,GDDR5,64,730.0,1150.0,28.0,950.0,12.3,77.0,75.0,6.24,18.72,256.0,384
139,AMD,TSMC,GCN 1.0,3,2011,659.2,2048.0,DDR3,64,1030.0,1125.0,28.0,690.0,12.3,56.0,50.0,8.24,20.6,128.0,320
140,AMD,TSMC,GCN 1.0,3,2011,599.0,2048.0,DDR3,128,730.0,900.0,28.0,950.0,12.3,77.0,75.0,6.24,18.72,256.0,384
141,AMD,TSMC,GCN 1.0,3,2011,588.8,2048.0,DDR3,64,920.0,1000.0,28.0,950.0,12.3,77.0,75.0,7.36,18.4,256.0,384
142,AMD,TSMC,GCN 1.0,3,2011,947.2,2048.0,GDDR5,128,925.0,1125.0,28.0,1500.0,12.2,123.0,80.0,14.8,29.6,256.0,640
143,AMD,TSMC,GCN 2.0,4,2013,1613.0,2048.0,GDDR5,128,1050.0,1625.0,28.0,2080.0,13.0,160.0,100.0,16.8,50.4,256.0,896
144,AMD,GlobalFoundries,GCN 4.0,6,2016,2150.0,2048.0,GDDR5,128,1090.0,1750.0,14.0,3000.0,24.4,123.0,80.0,19.2,67.2,1024.0,1024
145,AMD,GlobalFoundries,GCN 4.0,6,2016,2458.0,2048.0,GDDR5,128,1090.0,1750.0,14.0,3000.0,24.4,123.0,80.0,19.2,76.8,1024.0,1024
146,AMD,GlobalFoundries,GCN 4.0,6,2016,4322.0,4096.0,GDDR5,256,926.0,1650.0,14.0,5700.0,24.6,232.0,250.0,38.59,135.1,2048.0,2304
147,AMD,GlobalFoundries,GCN 4.0,6,2016,4940.0,4096.0,GDDR5,256,926.0,1650.0,14.0,5700.0,24.6,232.0,250.0,38.59,154.4,2048.0,2304
148,AMD,GlobalFoundries,GCN 4.0,6,2016,5834.0,8192.0,GDDR5,256,1120.0,2000.0,14.0,5700.0,24.6,232.0,250.0,40.51,182.3,2048.0,2304
149,AMD,TSMC,GCN 1.0,3,2011,659.2,2048.0,GDDR5,64,1030.0,1125.0,28.0,690.0,12.3,56.0,50.0,8.24,20.6,128.0,320
150,AMD,GlobalFoundries,GCN 4.0,6,2016,1211.0,2048.0,GDDR5,64,1100.0,1750.0,14.0,2200.0,21.4,103.0,65.0,18.93,37.86,512.0,640
151,AMD,GlobalFoundries,GCN 4.0,6,2016,1211.0,2048.0,GDDR5,128,1100.0,1750.0,14.0,2200.0,21.4,103.0,65.0,18.93,37.86,512.0,640
152,AMD,GlobalFoundries,GCN 4.0,6,2016,1097.0,2048.0,GDDR5,128,1019.0,1500.0,14.0,3000.0,24.4,123.0,80.0,17.14,34.27,1024.0,1024
153,AMD,GlobalFoundries,GCN 4.0,6,2016,1371.0,2048.0,GDDR5,128,1019.0,1500.0,14.0,3000.0,24.4,123.0,80.0,17.14,42.84,1024.0,1024
154,AMD,GlobalFoundries,GCN 4.0,6,2016,2106.0,4096.0,GDDR5,128,1090.0,1500.0,14.0,3000.0,24.4,123.0,75.0,18.8,65.8,1024.0,1024
155,AMD,GlobalFoundries,GCN 4.0,6,2016,2106.0,4096.0,GDDR5,128,1090.0,1750.0,14.0,3000.0,24.4,123.0,75.0,18.8,65.8,1024.0,1024
156,AMD,GlobalFoundries,GCN 4.0,6,2016,2611.0,4096.0,GDDR5,128,1175.0,1750.0,14.0,3000.0,24.4,123.0,75.0,20.4,81.6,1024.0,1024
157,AMD,GlobalFoundries,GCN 4.0,6,2016,4394.0,4096.0,GDDR5,256,1074.0,1750.0,14.0,5700.0,24.6,232.0,250.0,39.23,137.3,2048.0,2304
158,AMD,GlobalFoundries,GCN 4.0,6,2016,5095.0,4096.0,GDDR5,256,1168.0,1750.0,14.0,5700.0,24.6,232.0,185.0,39.81,159.2,2048.0,2304
159,AMD,GlobalFoundries,GCN 4.0,6,2016,5259.0,4096.0,GDDR5,256,1168.0,1750.0,14.0,5700.0,24.6,232.0,185.0,41.09,164.4,2048.0,2304
160,AMD,GlobalFoundries,GCN 4.0,6,2016,5834.0,8192.0,GDDR5,256,1120.0,2000.0,14.0,5700.0,24.6,232.0,250.0,40.51,182.3,2048.0,2304
161,AMD,GlobalFoundries,GCN 4.0,6,2016,6129.0,8192.0,GDDR5,256,1257.0,2000.0,14.0,5700.0,24.6,232.0,185.0,42.56,191.5,2048.0,2304
162,AMD,GlobalFoundries,GCN 4.0,6,2016,6175.0,8192.0,GDDR5,256,1257.0,2000.0,14.0,5700.0,24.6,232.0,185.0,42.88,193.0,2048.0,2304
163,AMD,GlobalFoundries,GCN 4.0,6,2016,6543.0,8192.0,GDDR5,256,1257.0,2000.0,14.0,5700.0,24.6,232.0,185.0,45.44,204.5,2048.0,2304
164,AMD,GlobalFoundries,GCN 4.0,6,2016,7119.0,8192.0,GDDR5,256,1469.0,2000.0,12.0,5700.0,24.6,232.0,175.0,49.44,222.5,2048.0,2304
165,AMD,GlobalFoundries,GCN 4.0,6,2016,1247.0,2048.0,GDDR5,128,1082.0,1750.0,14.0,2200.0,21.4,103.0,65.0,19.49,38.98,512.0,640
166,AMD,GlobalFoundries,GCN 4.0,6,2016,1371.0,4096.0,GDDR5,64,1019.0,1500.0,14.0,2200.0,21.4,103.0,65.0,17.14,42.84,512.0,640
167,AMD,GlobalFoundries,GCN 4.0,6,2016,1211.0,4096.0,GDDR5,128,1100.0,1500.0,14.0,2200.0,21.4,103.0,65.0,18.93,37.86,512.0,640
