,Manufacturer,Foundry,Architecture,Arbitrary Gen,Gen Year,FP32 (float) in GFLOPS,Memory Size (MB),Memory Type,Bus Width (bits),GPU clock (MHz),Memory clock (MHz),Process Size (nm),Transistors (millions),Density (M/mm²),Die Size (mm²),Max. TDP (W),Pixel Rate (GPixel/s),Texture Rate (GTexel/s),L2 Cache (KB),Shading Units
181,AMD,TSMC,RDNA 1.0,9,2019,7188.0,6144.0,GDDR6,192,1130.0,1500.0,7.0,10300.0,41.0,251.0,225.0,99.84,224.6,8192.0,2560
182,AMD,TSMC,RDNA 1.0,9,2019,7949.0,8192.0,GDDR6,256,1465.0,1750.0,7.0,10300.0,41.0,251.0,225.0,110.4,248.4,8192.0,2560
183,AMD,TSMC,RDNA 1.0,9,2019,9754.0,8192.0,GDDR6,256,1605.0,1750.0,7.0,10300.0,41.0,251.0,225.0,121.9,304.8,8192.0,2560
184,AMD,TSMC,RDNA 1.0,9,2019,10140.0,8192.0,GDDR6,256,1680.0,1750.0,7.0,10300.0,41.0,251.0,225.0,126.7,316.8,8192.0,2560
185,AMD,TSMC,RDNA 2.0,10,2020,3133.0,2048.0,GDDR6,32,1000.0,2000.0,6.0,5400.0,50.5,107.0,107.0,65.28,97.92,1024.0,1024
186,AMD,TSMC,RDNA 2.0,10,2020,3565.0,4096.0,GDDR6,64,1923.0,2000.0,6.0,5400.0,50.5,107.0,107.0,74.27,111.4,1024.0,1024
187,AMD,TSMC,RDNA 2.0,10,2020,5765.0,4096.0,GDDR6,64,2310.0,2248.0,6.0,5400.0,50.5,107.0,107.0,90.08,180.2,1024.0,1024
188,AMD,TSMC,RDNA 2.0,10,2020,8928.0,8192.0,GDDR6,128,1626.0,1750.0,7.0,11060.0,46.7,237.0,176.0,159.4,279.0,2048.0,2048
189,AMD,TSMC,RDNA 2.0,10,2020,10600.0,8192.0,GDDR6,128,1968.0,2000.0,7.0,11060.0,46.7,237.0,176.0,165.7,331.4,2048.0,2048
190,AMD,TSMC,RDNA 2.0,10,2020,10790.0,8192.0,GDDR6,128,2055.0,2190.0,7.0,11060.0,46.7,237.0,176.0,168.6,337.3,2048.0,2048
191,AMD,TSMC,RDNA 2.0,10,2020,11290.0,10240.0,GDDR6,160,1941.0,2000.0,7.0,17200.0,51.3,335.0,250.0,156.8,352.8,3072.0,2560
192,AMD,TSMC,RDNA 2.0,10,2020,13210.0,12288.0,GDDR6,192,2321.0,2000.0,7.0,17200.0,51.3,335.0,250.0,165.2,413.0,3072.0,2560
193,AMD,TSMC,RDNA 2.0,10,2020,11290.0,10240.0,GDDR6,160,1941.0,2000.0,7.0,17200.0,51.3,335.0,250.0,156.8,352.8,3072.0,2560
194,AMD,TSMC,RDNA 2.0,10,2020,13210.0,12288.0,GDDR6,192,2321.0,2250.0,7.0,17200.0,51.3,335.0,250.0,165.2,413.0,3072.0,2560
195,AMD,TSMC,RDNA 2.0,10,2020,13310.0,12288.0,GDDR6,192,2150.0,2250.0,7.0,17200.0,51.3,335.0,250.0,166.4,416.0,3072.0,2560
196,AMD,TSMC,RDNA 2.0,10,2020,16170.000000000002,16384.0,GDDR6,256,1700.0,2000.0,7.0,26800.0,51.5,520.0,400.0,202.1,505.2,4096.0,5120
197,AMD,TSMC,RDNA 2.0,10,2020,20740.0,16384.0,GDDR6,256,1825.0,2000.0,7.0,26800.0,51.5,520.0,400.0,288.0,648.0,4096.0,5120
198,AMD,TSMC,RDNA 2.0,10,2020,23040.0,16384.0,GDDR6,256,1825.0,2000.0,7.0,26800.0,51.5,520.0,400.0,288.0,720.0,4096.0,5120
199,AMD,TSMC,RDNA 2.0,10,2020,24930.0,16384.0,GDDR6,256,2075.0,2250.0,7.0,26800.0,51.5,520.0,400.0,311.7,779.2,4096.0,5120
200,AMD,TSMC,RDNA 2.0,10,2020,23650.0,16384.0,GDDR6,256,1860.0,2250.0,7.0,26800.0,51.5,520.0,400.0,295.7,739.2,4096.0,5120
201,AMD,TSMC,RDNA 3.0,11,2022,9421.0,6144.0,GDDR6,96,1452.0,2250.0,6.0,13300.0,65.2,204.0,190.0,73.6,147.2,2048.0,2048
202,AMD,TSMC,RDNA 3.0,11,2022,21750.0,8192.0,GDDR6,128,1720.0,2250.0,6.0,13300.0,65.2,204.0,190.0,169.9,339.8,2048.0,2048
203,AMD,TSMC,RDNA 3.0,11,2022,22570.0,16384.0,GDDR6,128,1980.0,2250.0,6.0,13300.0,65.2,204.0,190.0,176.3,352.6,2048.0,2048
204,AMD,TSMC,RDNA 3.0,11,2022,31950.0,12288.0,GDDR6,192,1900.0,2250.0,5.0,28100.0,81.2,346.0,263.0,249.6,499.2,4096.0,3840
205,AMD,TSMC,RDNA 3.0,11,2022,35170.0,12288.0,GDDR6,192,1435.0,2250.0,5.0,28100.0,81.2,346.0,263.0,244.2,549.5,4096.0,3840
206,AMD,TSMC,RDNA 3.0,11,2022,37320.0,16384.0,GDDR6,256,1295.0,2438.0,5.0,28100.0,81.2,346.0,263.0,233.3,583.2,4096.0,3840
207,AMD,TSMC,RDNA 3.0,11,2022,45980.0,16384.0,GDDR6,256,1287.0,2250.0,5.0,57700.0,109.1,529.0,405.0,359.2,718.4,6144.0,6144
208,AMD,TSMC,RDNA 3.0,11,2022,51480.0,20480.0,GDDR6,320,1387.0,2500.0,5.0,57700.0,109.1,529.0,405.0,459.6,804.4,6144.0,6144
209,AMD,TSMC,RDNA 3.0,11,2022,61390.0,24576.0,GDDR6,384,1929.0,2500.0,5.0,57700.0,109.1,529.0,405.0,479.6,959.2,6144.0,6144
210,AMD,TSMC,RDNA 3.0,11,2022,64510.00000000001,20480.0,GDDR6,320,2000.0,2500.0,5.0,57700.0,109.1,529.0,405.0,576.0,1008.0,6144.0,6144
211,AMD,TSMC,RDNA 3.0,11,2022,81100.0,24576.0,GDDR6,384,2200.0,2500.0,5.0,57700.0,109.1,529.0,405.0,633.6,1267.0,6144.0,6144
212,AMD,TSMC,RDNA 3.0,11,2022,88450.0,24576.0,GDDR6,384,2500.0,3000.0,5.0,57700.0,109.1,529.0,405.0,691.0,1382.0,6144.0,6144
213,AMD,GlobalFoundries,GCN 5.0,7,2017,10540.0,8192.0,HBM2,2048,1156.0,800.0,14.0,12500.0,25.3,495.0,375.0,94.14,329.5,4096.0,4096
214,AMD,GlobalFoundries,GCN 5.0,7,2017,12660.0,8192.0,HBM2,2048,1247.0,800.0,14.0,12500.0,25.3,495.0,375.0,98.94,395.8,4096.0,4096
215,AMD,GlobalFoundries,GCN 5.0,7,2017,12660.0,8192.0,HBM2,2048,1247.0,945.0,14.0,12500.0,25.3,495.0,375.0,98.94,395.8,4096.0,4096
216,AMD,GlobalFoundries,GCN 5.0,7,2017,12660.0,8192.0,HBM2,2048,1247.0,945.0,14.0,12500.0,25.3,495.0,375.0,98.94,395.8,4096.0,4096
217,AMD,GlobalFoundries,GCN 5.0,7,2017,13740.0,8192.0,HBM2,2048,1406.0,945.0,14.0,12500.0,25.3,495.0,375.0,107.3,429.3,4096.0,4096
