Manufacturer,Generation,Product Name,GPU URL,GPU Chip,Chip URL,Released,Year,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,Architecture,Foundry,Process Size,Transistors,Density,Die Size,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,WDDM,Tensor Cores,RT Cores,Shading Units,TMUs,ROPs,SM Count,L0 Cache,L1 Cache,L2 Cache,L3 Cache,Max. TDP,Pixel Rate,Texture Rate,FP16 (half),FP32 (float),FP64 (double),Abritary Gen,Gen Year
AMD,Navi (RX 5000),Radeon RX 5700 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-5700-xt.c3339,Navi 10,https://www.techpowerup.com/gpu-specs/amd-navi-10.g861,"Jul 7th, 2019",2019,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1605 MHz,1750 MHz,2560 / 160 / 64,RDNA 1.0,TSMC,7 nm,"10,300 million",41.0M / mm²,251 mm²,12 (12_1),4.6,2.1,1.3,6.7,3.1,,,2560,160,64,,32 KB per WGP,128 KB per Array,8192 KB,,225 W,121.9 GPixel/s,304.8 GTexel/s,19.51 TFLOPS (2:1),9.754 TFLOPS,609.6 GFLOPS (1:16),9,2019
AMD,Navi (RX 5000),Radeon RX 5700 XT 50th Anniversary,https://www.techpowerup.com/gpu-specs/radeon-rx-5700-xt-50th-anniversary.c3438,Navi 10,https://www.techpowerup.com/gpu-specs/amd-navi-10.g861,"Jul 7th, 2019",2019,PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1680 MHz,1750 MHz,2560 / 160 / 64,RDNA 1.0,TSMC,7 nm,"10,300 million",41.0M / mm²,251 mm²,12 (12_1),4.6,2.1,1.3,6.7,3.1,,,2560,160,64,,32 KB per WGP,128 KB per Array,8192 KB,,225 W,126.7 GPixel/s,316.8 GTexel/s,20.28 TFLOPS (2:1),10.14 TFLOPS,633.6 GFLOPS (1:16),9,2019
AMD,Navi II (RX 6000),Radeon RX 6300,https://www.techpowerup.com/gpu-specs/radeon-rx-6300.c4138,Navi 24,https://www.techpowerup.com/gpu-specs/amd-navi-24.g965,Never Released,2022,PCIe 4.0 x4,"2 GB, GDDR6, 32 bit",1000 MHz,2000 MHz,768 / 48 / 32,RDNA 2.0,TSMC,6 nm,"5,400 million",50.5M / mm²,107 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,16,1024,64,32,,32 KB per WGP,128 KB per Array,1024 KB,16 MB,107 W,65.28 GPixel/s,97.92 GTexel/s,6.267 TFLOPS (2:1),3.133 TFLOPS,195.8 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6400,https://www.techpowerup.com/gpu-specs/radeon-rx-6400.c3813,Navi 24,https://www.techpowerup.com/gpu-specs/amd-navi-24.g965,"Jan 19th, 2022",2022,PCIe 4.0 x4,"4 GB, GDDR6, 64 bit",1923 MHz,2000 MHz,768 / 48 / 32,RDNA 2.0,TSMC,6 nm,"5,400 million",50.5M / mm²,107 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,16,1024,64,32,,32 KB per WGP,128 KB per Array,1024 KB,16 MB,107 W,74.27 GPixel/s,111.4 GTexel/s,7.130 TFLOPS (2:1),3.565 TFLOPS,222.8 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6500 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6500-xt.c3850,Navi 24,https://www.techpowerup.com/gpu-specs/amd-navi-24.g965,"Jan 19th, 2022",2022,PCIe 4.0 x4,"4 GB, GDDR6, 64 bit",2310 MHz,2248 MHz,1024 / 64 / 32,RDNA 2.0,TSMC,6 nm,"5,400 million",50.5M / mm²,107 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,16,1024,64,32,,32 KB per WGP,128 KB per Array,1024 KB,16 MB,107 W,90.08 GPixel/s,180.2 GTexel/s,11.53 TFLOPS (2:1),5.765 TFLOPS,360.3 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6600,https://www.techpowerup.com/gpu-specs/radeon-rx-6600.c3696,Navi 23,https://www.techpowerup.com/gpu-specs/amd-navi-23.g926,"Oct 13th, 2021",2021,PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1626 MHz,1750 MHz,1792 / 112 / 64,RDNA 2.0,TSMC,7 nm,"11,060 million",46.7M / mm²,237 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,32,2048,128,64,,32 KB per WGP,128 KB per Array,2048 KB,32 MB,176 W,159.4 GPixel/s,279.0 GTexel/s,17.86 TFLOPS (2:1),8.928 TFLOPS,558.0 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6600 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6600-xt.c3774,Navi 23,https://www.techpowerup.com/gpu-specs/amd-navi-23.g926,"Jul 30th, 2021",2021,PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1968 MHz,2000 MHz,2048 / 128 / 64,RDNA 2.0,TSMC,7 nm,"11,060 million",46.7M / mm²,237 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,32,2048,128,64,,32 KB per WGP,128 KB per Array,2048 KB,32 MB,176 W,165.7 GPixel/s,331.4 GTexel/s,21.21 TFLOPS (2:1),10.60 TFLOPS,662.8 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6650 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6650-xt.c3898,Navi 23,https://www.techpowerup.com/gpu-specs/amd-navi-23.g926,"May 10th, 2022",2022,PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",2055 MHz,2190 MHz,2048 / 128 / 64,RDNA 2.0,TSMC,7 nm,"11,060 million",46.7M / mm²,237 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,32,2048,128,64,,32 KB per WGP,128 KB per Array,2048 KB,32 MB,176 W,168.6 GPixel/s,337.3 GTexel/s,21.59 TFLOPS (2:1),10.79 TFLOPS,674.6 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6700,https://www.techpowerup.com/gpu-specs/radeon-rx-6700.c3716,Navi 22,https://www.techpowerup.com/gpu-specs/amd-navi-22.g951,"Jun 9th, 2021",2021,PCIe 4.0 x16,"10 GB, GDDR6, 160 bit",1941 MHz,2000 MHz,2304 / 144 / 64,RDNA 2.0,TSMC,7 nm,"17,200 million",51.3M / mm²,335 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,40,2560,160,64,,32 KB per WGP,128 KB per Array,3072 KB,96 MB,250 W,156.8 GPixel/s,352.8 GTexel/s,22.58 TFLOPS (2:1),11.29 TFLOPS,705.6 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6700 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6700-xt.c3695,Navi 22,https://www.techpowerup.com/gpu-specs/amd-navi-22.g951,"Mar 3rd, 2021",2021,PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",2321 MHz,2000 MHz,2560 / 160 / 64,RDNA 2.0,TSMC,7 nm,"17,200 million",51.3M / mm²,335 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,40,2560,160,64,,32 KB per WGP,128 KB per Array,3072 KB,96 MB,250 W,165.2 GPixel/s,413.0 GTexel/s,26.43 TFLOPS (2:1),13.21 TFLOPS,825.9 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6750 GRE 10 GB,https://www.techpowerup.com/gpu-specs/radeon-rx-6750-gre-10-gb.c4192,Navi 22,https://www.techpowerup.com/gpu-specs/amd-navi-22.g951,"Oct 17th, 2023",2023,PCIe 4.0 x16,"10 GB, GDDR6, 160 bit",1941 MHz,2000 MHz,2304 / 144 / 64,RDNA 2.0,TSMC,7 nm,"17,200 million",51.3M / mm²,335 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,40,2560,160,64,,32 KB per WGP,128 KB per Array,3072 KB,96 MB,250 W,156.8 GPixel/s,352.8 GTexel/s,22.58 TFLOPS (2:1),11.29 TFLOPS,705.6 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6750 GRE 12 GB,https://www.techpowerup.com/gpu-specs/radeon-rx-6750-gre-12-gb.c4183,Navi 22,https://www.techpowerup.com/gpu-specs/amd-navi-22.g951,"Oct 17th, 2023",2023,PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",2321 MHz,2250 MHz,2560 / 160 / 64,RDNA 2.0,TSMC,7 nm,"17,200 million",51.3M / mm²,335 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,40,2560,160,64,,32 KB per WGP,128 KB per Array,3072 KB,96 MB,250 W,165.2 GPixel/s,413.0 GTexel/s,26.43 TFLOPS (2:1),13.21 TFLOPS,825.9 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6750 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6750-xt.c3879,Navi 22,https://www.techpowerup.com/gpu-specs/amd-navi-22.g951,"Mar 3rd, 2022",2022,PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",2150 MHz,2250 MHz,2560 / 160 / 64,RDNA 2.0,TSMC,7 nm,"17,200 million",51.3M / mm²,335 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,40,2560,160,64,,32 KB per WGP,128 KB per Array,3072 KB,96 MB,250 W,166.4 GPixel/s,416.0 GTexel/s,26.62 TFLOPS (2:1),13.31 TFLOPS,832.0 GFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6800,https://www.techpowerup.com/gpu-specs/radeon-rx-6800.c3713,Navi 21,https://www.techpowerup.com/gpu-specs/amd-navi-21.g923,"Oct 28th, 2020",2020,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",1700 MHz,2000 MHz,3840 / 240 / 96,RDNA 2.0,TSMC,7 nm,"26,800 million",51.5M / mm²,520 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,80,5120,320,128,,32 KB per WGP,128 KB per Array,4096 KB,128 MB,400 W,202.1 GPixel/s,505.2 GTexel/s,32.33 TFLOPS (2:1),16.17 TFLOPS,"1,010 GFLOPS (1:16)",10,2020
AMD,Navi II (RX 6000),Radeon RX 6800 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6800-xt.c3694,Navi 21,https://www.techpowerup.com/gpu-specs/amd-navi-21.g923,"Oct 28th, 2020",2020,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",1825 MHz,2000 MHz,4608 / 288 / 128,RDNA 2.0,TSMC,7 nm,"26,800 million",51.5M / mm²,520 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,80,5120,320,128,,32 KB per WGP,128 KB per Array,4096 KB,128 MB,400 W,288.0 GPixel/s,648.0 GTexel/s,41.47 TFLOPS (2:1),20.74 TFLOPS,"1,296 GFLOPS (1:16)",10,2020
AMD,Navi II (RX 6000),Radeon RX 6900 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6900-xt.c3481,Navi 21,https://www.techpowerup.com/gpu-specs/amd-navi-21.g923,"Oct 28th, 2020",2020,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",1825 MHz,2000 MHz,5120 / 320 / 128,RDNA 2.0,TSMC,7 nm,"26,800 million",51.5M / mm²,520 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,80,5120,320,128,,32 KB per WGP,128 KB per Array,4096 KB,128 MB,400 W,288.0 GPixel/s,720.0 GTexel/s,46.08 TFLOPS (2:1),23.04 TFLOPS,"1,440 GFLOPS (1:16)",10,2020
AMD,Navi II (RX 6000),Radeon RX 6900 XTX,https://www.techpowerup.com/gpu-specs/radeon-rx-6900-xtx.c3800,Navi 21,https://www.techpowerup.com/gpu-specs/amd-navi-21.g923,Never Released,2020,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",2075 MHz,2250 MHz,5120 / 320 / 128,RDNA 2.0,TSMC,7 nm,"26,800 million",51.5M / mm²,520 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,80,5120,320,128,,32 KB per WGP,128 KB per Array,4096 KB,128 MB,400 W,311.7 GPixel/s,779.2 GTexel/s,49.87 TFLOPS (2:1),24.93 TFLOPS,1.558 TFLOPS (1:16),10,2020
AMD,Navi II (RX 6000),Radeon RX 6950 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-6950-xt.c3875,Navi 21,https://www.techpowerup.com/gpu-specs/amd-navi-21.g923,"May 10th, 2022",2022,PCIe 4.0 x16,"16 GB, GDDR6, 256 bit",1860 MHz,2250 MHz,5120 / 320 / 128,RDNA 2.0,TSMC,7 nm,"26,800 million",51.5M / mm²,520 mm²,12 Ultimate (12_2),4.6,2.1,1.3,6.7,3.1,,80,5120,320,128,,32 KB per WGP,128 KB per Array,4096 KB,128 MB,400 W,295.7 GPixel/s,739.2 GTexel/s,47.31 TFLOPS (2:1),23.65 TFLOPS,"1,478 GFLOPS (1:16)",10,2020
AMD,Navi III (RX 7000),Radeon RX 7500 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-7500-xt.c4116,Navi 33,https://www.techpowerup.com/gpu-specs/amd-navi-33.g1001,Never Released,2022,PCIe 4.0 x8,"6 GB, GDDR6, 96 bit",1452 MHz,2250 MHz,1024 / 64 / 32,RDNA 3.0,TSMC,6 nm,"13,300 million",65.2M / mm²,204 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,32,2048,128,64,,64 KB per WGP,256 KB per Array,2048 KB,32 MB,190 W,73.60 GPixel/s,147.2 GTexel/s,18.84 TFLOPS (2:1),9.421 TFLOPS,294.4 GFLOPS (1:32),11,2022
AMD,Navi III (RX 7000),Radeon RX 7600,https://www.techpowerup.com/gpu-specs/radeon-rx-7600.c4153,Navi 33,https://www.techpowerup.com/gpu-specs/amd-navi-33.g1001,"May 24th, 2023",2023,PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1720 MHz,2250 MHz,2048 / 128 / 64,RDNA 3.0,TSMC,6 nm,"13,300 million",65.2M / mm²,204 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,32,2048,128,64,,64 KB per WGP,256 KB per Array,2048 KB,32 MB,190 W,169.9 GPixel/s,339.8 GTexel/s,43.50 TFLOPS (2:1),21.75 TFLOPS,679.7 GFLOPS (1:32),11,2022
AMD,Navi III (RX 7000),Radeon RX 7600 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-7600-xt.c4190,Navi 33,https://www.techpowerup.com/gpu-specs/amd-navi-33.g1001,"Jan 8th, 2024",2024,PCIe 4.0 x8,"16 GB, GDDR6, 128 bit",1980 MHz,2250 MHz,2048 / 128 / 64,RDNA 3.0,TSMC,6 nm,"13,300 million",65.2M / mm²,204 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,32,2048,128,64,,64 KB per WGP,256 KB per Array,2048 KB,32 MB,190 W,176.3 GPixel/s,352.6 GTexel/s,45.14 TFLOPS (2:1),22.57 TFLOPS,705.3 GFLOPS (1:32),11,2022
AMD,Navi III (RX 7000),Radeon RX 7700,https://www.techpowerup.com/gpu-specs/radeon-rx-7700.c4159,Navi 32,https://www.techpowerup.com/gpu-specs/amd-navi-32.g1000,2023,2023,PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",1900 MHz,2250 MHz,3072 / 192 / 96,RDNA 3.0,TSMC,5 nm,"28,100 million",81.2M / mm²,346 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,60,3840,192,128,,64 KB per WGP,256 KB per Array,4096 KB,64 MB,263 W,249.6 GPixel/s,499.2 GTexel/s,63.90 TFLOPS (2:1),31.95 TFLOPS,998.4 GFLOPS (1:32),11,2022
AMD,Navi III (RX 7000),Radeon RX 7700 XT,https://www.techpowerup.com/gpu-specs/radeon-rx-7700-xt.c3911,Navi 32,https://www.techpowerup.com/gpu-specs/amd-navi-32.g1000,"Aug 25th, 2023",2023,PCIe 4.0 x16,"12 GB, GDDR6, 192 bit",1435 MHz,2250 MHz,3456 / 216 / 96,RDNA 3.0,TSMC,5 nm,"28,100 million",81.2M / mm²,346 mm²,12 Ultimate (12_2),4.6,2.2,1.3,6.7,3.1,,60,3840,192,128,,64 KB per WGP,256 KB per Array,4096 KB,64 MB,263 W,244.2 GPixel/s,549.5 GTexel/s,70.34 TFLOPS (2:1),35.17 TFLOPS,"1,099 GFLOPS (1:32)",11,2022
